Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24
"Chris Sale, W (1-0)",5.1,5,2,2,2,8,0,3.38,22,56.0,,,0.17,0.7,1.49%,10.94,2.2
Ryan Brasier,0.1,1,0,0,1,0,0,0.0,3,,2.0,2.0,-0.064,1.08,-0.56%,16.97,-1.5
"Brandon Workman, H (1)",0.1,2,1,1,1,1,0,27.0,4,,2.0,0.0,-0.071,1.89,-0.63%,29.54,-0.6
"Matt Barnes, H (1)",1.0,0,0,0,1,1,0,0.0,4,,2.0,1.0,0.11,2.96,0.96%,46.45,0.5
"Rick Porcello, H (1)",0.2,1,0,0,0,0,0,0.0,3,,0.0,0.0,0.042,1.01,0.37%,15.78,0.3
"Craig Kimbrel, S (1)",1.1,1,1,1,0,3,1,6.75,5,,1.0,0.0,0.115,1.87,1.01%,29.31,-0.2
Team Totals,9.0,10,4,4,5,13,1,4.0,41,56.0,7.0,3.0,0.302,1.27,2.64%,19.83,0.8
