Pitching,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,0,1,2,0,1,2
Bronson Arroyo,5.1,6.0,5.0,5.0,2.0,7.0,1.0,4.15,24.0,99.0,65.0,33.0,7.0,25.0,7.0,8.0,4.0,0.0,41.0,,,-0.171,1.0,-0.02%,0.16,-1.0,1.0,Brian Roberts,2B,1.0,Johnny Damon,CF
Mike Myers,0.2,1.0,0.0,0.0,0.0,1.0,0.0,4.54,3.0,12.0,9.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,-0.08,1.47,-0.01%,0.23,-0.4,2.0,David Newhan,RF,2.0,Mark Bellhorn,2B
Scott Williamson,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.05,5.0,16.0,8.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.066,1.18,0.01%,0.19,0.6,3.0,Melvin Mora,3B,3.0,Manny Ramirez,LF
"Mike Timlin, H (19)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,12.0,7.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,,0.0,0.0,0.131,1.63,0.01%,0.26,0.6,4.0,Miguel Tejada,SS,4.0,David Ortiz,DH
"Keith Foulke, BS (7)",1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.29,4.0,22.0,13.0,8.0,3.0,2.0,1.0,2.0,1.0,0.0,,0.0,0.0,-0.161,2.21,-0.01%,0.35,-0.4,5.0,B.J. Surhoff,LF,5.0,Trot Nixon,RF
Ramiro Mendoza,0.2,0.0,0.0,0.0,1.0,0.0,0.0,2.81,3.0,14.0,6.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.083,1.95,0.01%,0.31,0.3,6.0,Javy Lopez,C,6.0,Kevin Millar,1B
Alan Embree,1.1,1.0,0.0,0.0,0.0,1.0,0.0,4.22,5.0,21.0,12.0,9.0,1.0,2.0,2.0,2.0,1.0,0.0,,1.0,0.0,0.229,2.57,0.02%,0.41,0.9,7.0,Jay Gibbons,1B,7.0,Jason Varitek,C
"Curt Leskanic, W (3-5)",1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.63,5.0,15.0,11.0,7.0,2.0,2.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.156,3.77,0.01%,0.59,0.6,8.0,Larry Bigbie,CF,8.0,Orlando Cabrera,SS
Team Totals,12.0,12.0,6.0,6.0,5.0,11.0,2.0,4.5,52.0,211.0,131.0,77.0,17.0,37.0,19.0,17.0,6.0,0.0,41.0,2.0,1.0,0.253,1.65,0.02%,0.26,1.1,9.0,Luis Lopez,DH,9.0,Bill Mueller,3B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidney Ponson,P,,Bronson Arroyo,P
