Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.89,-116.0,-10.8,6442,-3.1,107.9,-111.0,0.99,-2.4,-0.7,-2.2%,88.3%,-90.6%,1.35,-0.8%,-26.9,-2.6,0.93,-42.9,1.21,214
Atlanta Braves,5.0,-45.1,-4.3,6577,1.5,112.7,-111.1,1.0,3.7,-2.1,2.8%,58.9%,-56.2%,0.85,1.4%,10.7,0.8,0.96,26.3,1.17,217
Chicago Cubs,4.72,-83.0,-7.9,6599,-8.4,115.5,-123.9,1.08,-4.4,-3.3,-1.1%,20.5%,-21.6%,0.31,-2.6%,-55.6,-5.4,0.94,-58.5,1.43,237
Cincinnati Reds,5.06,-39.6,-3.8,6594,-3.5,116.5,-119.9,1.04,3.4,-6.8,-4.9%,59.6%,-64.5%,0.92,-5.8%,2.4,0.0,0.94,33.0,1.44,233
Colorado Rockies,5.98,-130.5,-12.3,6745,2.1,116.3,-114.2,0.99,3.6,-1.5,1.2%,53.9%,-52.7%,0.77,0.3%,79.5,6.2,0.94,49.2,1.4,248
Florida Marlins,4.54,-68.2,-6.4,6501,-3.4,115.0,-118.4,1.07,-4.5,1.4,-1.0%,36.5%,-37.6%,0.57,0.1%,-53.9,-5.3,0.95,-49.3,1.41,217
Houston Astros,5.79,25.4,1.9,6703,2.2,116.6,-114.4,0.99,10.3,-8.1,-0.7%,16.6%,-17.3%,0.25,-3.0%,100.3,8.4,0.95,115.9,1.26,245
Los Angeles Dodgers,4.93,-1.6,-0.4,6529,2.1,117.4,-115.3,1.03,3.8,-1.8,1.5%,70.6%,-69.1%,1.03,-0.9%,10.1,0.6,0.95,24.5,1.49,206
Milwaukee Brewers,4.54,-122.4,-11.4,6566,-9.3,111.5,-120.8,1.06,-5.5,-3.3,-1.9%,17.1%,-19.0%,0.27,-3.4%,-73.4,-7.1,0.94,-77.7,1.4,232
Montreal Expos,4.56,-127.6,-12.0,6332,-7.5,103.5,-111.0,0.98,-3.9,-3.7,-0.2%,38.7%,-38.9%,0.59,-0.3%,-77.0,-7.2,0.92,-64.3,1.36,179
New York Mets,4.98,-3.7,-0.6,6530,0.9,113.5,-112.7,1.02,4.9,-4.1,1.6%,81.6%,-80.0%,1.21,-1.7%,17.9,1.3,0.96,40.4,1.2,249
Philadelphia Phillies,4.37,-146.4,-13.7,6492,-12.6,110.4,-123.0,1.08,-9.5,-2.1,-2.2%,14.1%,-16.3%,0.23,-5.4%,-100.2,-9.5,0.95,-109.1,1.41,231
Pittsburgh Pirates,4.9,-69.5,-6.7,6573,-4.4,118.2,-122.6,1.07,-0.9,-3.2,-1.9%,26.2%,-28.1%,0.4,-3.6%,-25.4,-2.8,0.95,-31.2,1.42,211
San Diego Padres,4.64,-65.6,-6.2,6539,-3.5,114.0,-117.5,1.06,-4.3,1.0,-1.0%,22.4%,-23.4%,0.35,-1.3%,-37.6,-3.8,0.95,-56.0,1.37,232
San Francisco Giants,5.71,148.1,13.2,6606,11.9,114.4,-102.4,0.94,13.3,-0.6,6.2%,70.3%,-64.1%,0.97,-1.9%,147.6,13.5,0.97,157.6,1.36,196
St. Louis Cardinals,5.48,23.1,1.8,6601,7.5,113.4,-105.9,0.94,10.8,-2.8,2.6%,60.0%,-57.4%,0.85,-3.2%,83.7,7.3,0.96,112.5,1.25,206
League Average,5.0,-51.0,-5.0,6558,-2.0,114.0,-115.0,1.02,1.0,-3.0,-0%,46%,-46%,0.68,-1%,0.0,-0.0,0.0,4.0,0.0,222
,5.0,-822.4,-79.7,104929,-27.4,1816.7,-1844.2,1.02,18.4,-45.2,-1.2%,735.4%,-736.6%,0.68,-11.8%,2.2,-5.6,0.95,70.4,1.35,3553
