game_id,HmBat1ID,HmBat2ID,HmBat3ID,HmBat4ID,HmBat5ID,HmBat6ID,HmBat7ID,HmBat8ID,HmBat9ID,VisStPchID,VisBat1ID,VisBat2ID,VisBat3ID,VisBat4ID,VisBat5ID,VisBat6ID,VisBat7ID,VisBat8ID,VisBat9ID
748262,656775,668939,623993,656811,669720,602104,702616,622761,663630,676477,678882,677800,666915,622569,623168,663853,642197,676628,687208
748258,571657,467793,668904,596146,680777,666397,650489,666135,668885,663559,678225,669707,680779,675986,658668,571875,675961,641856,665482
748256,642708,676609,666018,678554,642350,691406,680700,650907,663968,675911,671739,664058,542303,595943,672284,644433,641645,805373,657088
748255,666185,502671,669357,571448,575929,572761,676475,665877,672279,677960,669364,605137,669394,650559,660821,641820,667472,663743,660644
748254,668731,669234,690993,595879,663837,628451,669374,668670,668952,661563,683011,663757,665828,677592,666163,620443,660757,678391,677954
748257,669289,666182,457759,643376,662139,643396,687462,664770,686490,663465,593160,679032,624641,665019,642215,621311,664068,666801,605244
748259,621466,596019,624413,683146,668901,578428,572204,621512,670128,668868,680977,663457,691023,671056,663609,663845,671083,687363,660614
748252,680757,665926,608070,647304,657656,691277,666310,677587,664702,686730,670770,682829,600869,641584,663886,666181,543281,605361,642851
748251,665923,680869,664913,667670,669127,668709,649557,647351,669397,663567,676701,666134,660707,553869,669911,696100,694514,663796,678837
748253,596103,527038,624424,605204,642731,672275,671218,669477,682641,592767,643565,663611,621550,670223,595751,670156,682634,680695,807713
748247,672580,677951,521692,624428,669004,664728,680118,668472,682515,543135,608671,665120,677649,668800,679822,656537,687957,673995,680716
748248,643217,660162,673357,650391,519058,657757,695657,545358,664901,596271,641487,593871,641598,664034,666211,668942,664874,687799,669256
748250,682998,677950,666971,607054,656896,691783,645444,699471,663536,663562,453568,592178,641857,663898,686668,678662,605548,687597,607732
748249,666160,694384,545361,683021,621493,592273,681351,666176,687263,607192,605141,681546,621035,606192,605131,666158,681624,700242,656821
748246,665487,630105,593428,592518,673490,669134,701538,666703,640492,642239,686217,694192,672012,686894,663368,668930,606992,686554,682265
748261,682928,657041,608336,608841,608385,660688,669222,671277,645302,669854,676801,643289,605170,572138,676694,667452,682073,680810,666197
